#,English Name,Cost IQD,Chinese Name,Platform,Offline Price IQD,English Support,Cover URL,Store Link,NSUID,Publisher,Languages,Matched Title,Source
1379,Alice Gear Aegis CS: Concerto of Simulatrix,1496,机战少女 Alice,Nintendo Switch,5000,نعم,https://www.nintendo.com/eu/media/images/05_packshots/games_13/nintendo_switch_8/PS_NSwitch_AliceGearAegisCsConcertoOfSimulatrix_PEGI_image500w.jpg,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-games/Alice-Gear-Aegis-CS-Concerto-of-Simulatrix-2304055.html,,,"english, japanese",Alice Gear Aegis CS Concerto of Simulatrix,EU
1380,Astral Ascent,1496,星界战士,Nintendo Switch,7000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/Astral-Ascent-2468979.html,,,"chinese, english, french, japanese, korean, portuguese, russian, spanish",Astral Ascent,EU
1381,JUST DANCE 2017,1496,舞力全开 2017,Nintendo Switch,8000,نعم,https://www.nintendo.com/eu/media/images/migration/games_7/packshot/wii_15/portrait_5/justdance_pegi_image500w.png,https://www.nintendo.com/en-gb/Games/Wii/Just-Dance-281573.html,,,,Just Dance,EU
1382,Layton's Mystery Journey: Katrielle and the Millionaires' Conspiracy – Deluxe Edition,1496,雷顿 神秘之旅,Nintendo Switch,8000,نعم,https://www.nintendo.com/eu/media/images/05_packshots/games_13/nintendo_switch_8/PS_NSwitch_LaytonsMysteryJourneyKatrielleAndTheMillionairesConspiracyDeluxeEdition_PEGI_enGB_image500w.jpg,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-games/LAYTON-S-MYSTERY-JOURNEY-Katrielle-and-the-Millionaires-Conspiracy-Deluxe-Edition-1589842.html,,,"dutch, english, french, german, italian, spanish",LAYTON'S MYSTERY JOURNEY™: Katrielle and the Millionaires' Conspiracy Deluxe Edition,EU
1383,SHINE POST,1927.2,闪耀路标,Nintendo Switch 2,7000,نعم,https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_download_software/1x1_NSwitchDS_PostVoid_image500w.jpg,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/POST-VOID-2262563.html,,,"chinese, dutch, english, french, german, japanese, korean, spanish",POST VOID,EU
1384,Shiren the Wanderer: The Mystery Dungeon of Serpentcoil Island,1496,千变的迷宫 风来的希炼,Nintendo Switch,7000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-games/Shiren-the-Wanderer-The-Mystery-Dungeon-of-Serpentcoil-Island-2505891.html,,,english,Shiren the Wanderer: The Mystery Dungeon of Serpentcoil Island,EU
1385,Best Served Cold,1496,十年不晚,Nintendo Switch,5000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/Best-Served-Cold-2871557.html,,,"chinese, english, japanese, korean",Best Served Cold,EU
1386,Atelier Sophie: The Alchemist of the Mysterious Book,1496,苏菲的炼金工房,Nintendo Switch,8000,نعم,https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_AtelierSophieTheAlchemistOfTheMysteriousBookDx_image500w.jpg,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/Atelier-Sophie-The-Alchemist-of-the-Mysterious-Book-DX-1957206.html,,,english,Atelier Sophie: The Alchemist of the Mysterious Book DX,EU
1387,SEKIMORIGAMI,1496,关守神 再演,Nintendo Switch,5000,نعم,,,,,,,
1388,Tales of Symphonia Remastered,1496,交响传奇 仙乐传说,Nintendo Switch,8000,نعم,https://www.nintendo.com/eu/media/images/05_packshots/games_13/nintendo_switch_8/PS_NSwitch_TalesOfSymphoniaRemastered_PEGI_image500w.jpg,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-games/Tales-of-Symphonia-Remastered-2303488.html,,,"english, french, german, italian, russian, spanish",Tales of Symphonia Remastered,EU
1389,Märchen Forest,1496,童话森林,Nintendo Switch,5000,نعم,https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_MarchenForest_image500w.jpg,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/Marchen-Forest-1906677.html,,,"chinese, english, japanese, korean",Märchen Forest,EU
1390,Sticky Business,1496,小小贴纸铺,Nintendo Switch,5000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/Sticky-Business-2556311.html,,,"chinese, english, french, german, japanese, korean, portuguese, spanish",Sticky Business,EU
1391,Vault of the Void,1496,虚空之库,Nintendo Switch,5000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/Vault-of-the-Void-2770900.html,,,"chinese, english, french, german, japanese, portuguese, spanish",Vault of the Void,EU
1392,Just Die Already,1496,模拟老大爷,Nintendo Switch,5000,نعم,https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_JustDieAlready_image500w.jpg,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/Just-Die-Already-1968545.html,,,"chinese, english, french, german, japanese, korean, portuguese, russian, spanish",Just Die Already,EU
1393,Monarchy,1496,君主,Nintendo Switch,5000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/Monarchy-2676363.html,,,"chinese, dutch, english, french, german, italian, japanese, korean, portuguese, russian, spanish",Monarchy,EU
1394,Metal Max Xeno: Reborn,1496,重装机兵 坦,Nintendo Switch,5000,نعم,https://www.nintendo.com/eu/media/images/05_packshots/games_13/nintendo_switch_8/PS_NSwitch_MetalMaxXenoReborn_PEGI_image500w.jpg,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-games/METAL-MAX-Xeno-Reborn-2207741.html,,,english,METAL MAX Xeno Reborn,EU
1395,Cuisineer,1496,猫娘小厨,Nintendo Switch,5000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-games/Cuisineer-2700386.html,,,"chinese, english, french, german, japanese, korean, portuguese, spanish",Cuisineer,EU
